SalesID;DocumentDate;SalePrice;PropertyID;PropertyType;ym;zhvi_px;zhvi_idx;AdjSalePrice;NbrLivingUnits;SqFtLot;SqMLot;SqFtTotLiving;SqMTotLiving;SqFtFinBasement;SqMFinBasement;Bathrooms;Bedrooms;BldgGrade;YrBuilt;YrRenovated;TrafficNoise;LandVal;ImpsVal;ZipCode;NewConstruction;Image
1;2014-09-16;280000;1000102;Multiplex;2014-09-01;405100;0.930836397058823;300805;2;9373;871;2400;223;0;0;3;6;7;1991;0;0;70000;229000;98002;0;00FC30M41U9X
2;2006-06-16;1000000;1200013;Single Family;2006-06-01;404400;0.929227941176471;1076162;1;20156;1873;3764;350;1452;135;3.75;4;10;2005;0;0;203000;590000;98166;1;03HWK80EXDW9
3;2007-01-29;745000;1200019;Single Family;2007-01-01;425600;0.977941176470588;761805;1;26036;2419;2060;191;900;84;1.75;4;8;1947;0;0;183000;275000;98166;0;03VX6PD8CRJ7
4;2008-02-25;425000;2800016;Single Family;2008-02-01;418400;0.961397058823529;442065;1;8618;801;3200;297;1640;152;3.75;5;7;1966;0;0;104000;229000;98168;0;082I5VIWXZ0E
5;2013-03-29;240000;2800024;Single Family;2013-03-01;351600;0.807904411764706;297065;1;8620;801;1720;160;0;0;1.75;4;7;1948;0;0;104000;205000;98168;0;0G0VJO0TKJAH
6;2009-03-30;349900;3600090;Townhouse;2009-03-01;369800;0.849724264705882;411781;1;1012;94;930;86;0;0;1.5;2;8;2008;0;0;170000;207000;98144;1;0N646IFYO6KP
7;2013-08-28;327500;3800004;Single Family;2013-08-01;374300;0.860064338235294;380785;1;34465;3202;1750;163;0;0;1.5;3;8;1961;0;0;165000;227000;98178;0;0SFS1LP5FSR2
8;2007-05-24;347000;3800009;Single Family;2007-05-01;432100;0.992876838235294;349489;1;14659;1362;1860;173;620;58;1.75;4;7;1963;0;0;115000;154000;98178;0;0UC5H3ZIO6W7
9;2006-09-22;220400;6600055;Single Family;2006-09-01;414800;0.953125;231239;1;5324;495;990;92;0;0;1;2;6;1930;0;3;90000;75000;98032;0;0UNMPHBUXYW7
10;2006-08-22;437500;7200080;Multiplex;2006-08-01;411100;0.944623161764706;463148;2;10585;983;1980;184;0;0;2;4;6;1924;0;0;124000;116000;98055;0;0V7UYVT5ECPY
11;2014-10-16;150000;7200179;Single Family;2014-10-01;407400;0.936121323529412;160236;1;12750;1185;840;78;0;0;1;2;6;1925;0;0;133000;73000;98055;0;0ZQK7319GJTC
12;2010-01-14;300000;7400054;Single Family;2010-01-01;350800;0.806066176470588;372178;1;5200;483;1750;163;600;56;1;3;7;1958;0;1;100000;172000;98118;0;1045VPT2HLCG
13;2008-06-26;292000;7400062;Single Family;2008-06-01;403200;0.926470588235294;315175;1;5240;487;790;73;0;0;1;2;6;1925;0;1;100000;152000;98118;0;12XLMP2QDFLU
14;2014-05-21;299800;7400062;Single Family;2014-05-01;398100;0.914751838235294;327739;1;5240;487;790;73;0;0;1;2;6;1925;0;1;100000;152000;98118;0;13WAJBAV3D57
